预测值：0.5782750001199999 真实值：0.597777778 误差：3.26254648429%
预测值：0.6013796297333334 真实值：0.624444444 误差：3.69365353288%
预测值：0.5681408729285714 真实值：0.567222222 误差：0.161956089332%
预测值：0.6491962963533332 真实值：0.651111111 误差：0.294084160801%
预测值：0.5792936507285714 真实值：0.573333333 误差：1.0395903021%
预测值：0.6299074075 真实值：0.618888889 误差：1.780371032%
预测值：0.5811759259999999 真实值：0.583333333 误差：0.369841200211%
预测值：0.58436111115 真实值：0.596111111 误差：1.97110901528%
预测值：0.6342962963 真实值：0.634444444 误差：0.0233507758482%
预测值：0.5791972220749999 真实值：0.602222222 误差：3.82333947235%
预测值：0.5966604939555555 真实值：0.608333333 误差：1.91882285767%
预测值：0.6097222223000001 真实值：0.589444444 误差：3.44015089232%
预测值：0.536302777825 真实值：0.558333333 误差：3.94577107848%
预测值：0.5973333334166666 真实值：0.617222222 误差：3.22232218388%
预测值：0.6304999999666666 真实值：0.637222222 误差：1.05492586436%
预测值：0.5587777778 真实值：0.547777778 误差：2.00811355294%
预测值：0.5731203704166666 真实值：0.571111111 误差：0.351815851236%
预测值：0.56986805555 真实值：0.578333333 误差：1.46373673571%
预测值：0.6166296297333334 真实值：0.622777778 误差：0.987213815883%
预测值：0.4734999997999999 真实值：0.468333333 误差：1.10320287623%
预测值：0.6322698412857143 真实值：0.629444444 误差：0.44887159028%
预测值：0.6013148148666667 真实值：0.559444444 误差：7.48427682422%
预测值：0.57886388888 真实值：0.576666667 误差：0.38102113504%
预测值：0.60063888885 真实值：0.606111111 误差：0.902841418131%
预测值：0.5967314815250001 真实值：0.583888889 误差：2.19949253479%
预测值：0.6136111112 真实值：0.62 误差：1.03046593548%
预测值：0.5810238094714285 真实值：0.563333333 误差：3.14032126898%
预测值：0.6105925924333333 真实值：0.623333333 误差：2.04396907596%
预测值：0.5724195767885714 真实值：0.579444444 误差：1.21234525314%
预测值：0.6303333335 真实值：0.616111111 误差：2.30838597878%
预测值：0.6141333334288889 真实值：0.648888889 误差：5.35616438504%
预测值：0.6154867724428572 真实值：0.623333333 误差：1.25880650717%
预测值：0.6065370369666667 真实值：0.585 误差：3.68154478063%
预测值：0.5878194445 真实值：0.619444444 误差：5.10538108886%
预测值：0.5561481482 真实值：0.547777778 误差：1.52805946794%
预测值：0.6275324075083334 真实值：0.616111111 误差：1.85377220187%
预测值：0.6139629629833333 真实值：0.624444444 误差：1.67852898963%
预测值：0.6411666666533333 真实值：0.620555556 误差：3.32139652188%
预测值：0.5803564813916665 真实值：0.582222222 误差：0.320451631325%
预测值：0.572611111 真实值：0.586666667 误差：2.39583340773%
预测值：0.6532013889874999 真实值：0.663333333 误差：1.52742874637%
预测值：0.6378518519857141 真实值：0.607222222 误差：5.04422085951%
