预测值：26.62392438208105 真实值：0.624444444 误差：4163.61778664%
预测值：12.424790142490288 真实值：0.567222222 误差：2090.46251374%
预测值：31.87598069678183 真实值：0.651111111 误差：4795.62843549%
预测值：25.111487623305557 真实值：0.573333333 误差：4279.91063452%
预测值：18.449579541040812 真实值：0.618888889 误差：2881.08107432%
预测值：17.625948801925524 真实值：0.583333333 误差：2921.59122491%
预测值：18.273733796848155 真实值：0.596111111 误差：2965.49122465%
预测值：48.375832864441755 真实值：0.634444444 误差：7524.91236576%
预测值：23.230395045274754 真实值：0.602222222 误差：3757.44567315%
预测值：3.3745092504078182 真实值：0.608333333 误差：454.713849686%
预测值：9.95127708618731 真实值：0.589444444 误差：1588.2468208%
预测值：19.875175500257633 真实值：0.558333333 误差：3459.73292754%
预测值：10.740491486239598 真实值：0.617222222 误差：1640.13363476%
预测值：33.78174931199312 真实值：0.637222222 误差：5201.4079148%
预测值：19.39616042935331 真实值：0.547777778 误差：3440.88121285%
预测值：18.879255367688366 真实值：0.571111111 误差：3205.70619343%
预测值：8.883210394763474 真实值：0.578333333 误差：1436.00179825%
预测值：26.27626904378264 真实值：0.622777778 误差：4119.20466208%
预测值：-26.46041417123177 真实值：0.468333333 误差：5749.91050322%
预测值：7.8868276569647335 真实值：0.629444444 误差：1152.98232944%
预测值：22.03245247293905 真实值：0.559444444 误差：3838.27353354%
预测值：17.663938675310142 真实值：0.576666667 误差：2963.11075117%
预测值：11.977361001728077 真实值：0.606111111 误差：1876.09989066%
预测值：20.63682826647534 真实值：0.583888889 误差：3434.37591556%
预测值：32.94127471558392 真实值：0.62 误差：5213.10882509%
预测值：5.765242581163712 真实值：0.563333333 误差：923.415843416%
预测值：18.32620495827252 真实值：0.623333333 误差：2840.03288258%
预测值：4.8184195087947685 真实值：0.579444444 误差：731.558496882%
预测值：31.958913317976403 真实值：0.616111111 误差：5087.19963776%
预测值：-1.5471813117581452 真实值：0.648888889 误差：338.435476086%
预测值：10.031749005881984 真实值：0.623333333 误差：1509.37149913%
预测值：1.183346345866148 真实值：0.585 误差：102.281426644%
预测值：12.809954711591281 真实值：0.619444444 误差：1967.97475313%
预测值：21.684907695632724 真实值：0.547777778 误差：3858.70525723%
预测值：7.268792173610514 真实值：0.616111111 误差：1079.7859256%
预测值：-16.422450671170218 真实值：0.624444444 误差：2729.92982466%
预测值：27.872861300831637 真实值：0.620555556 误差：4391.59805779%
预测值：25.66512779804686 真实值：0.582222222 误差：4308.13263875%
预测值：15.369150605519572 真实值：0.586666667 误差：2519.741579%
预测值：34.20348219636123 真实值：0.663333333 误差：5056.30385129%
预测值：36.836078046478015 真实值：0.607222222 误差：5966.32575553%
预测值：45.52530113534085 真实值：0.657222222 误差：6826.92663325%
预测值：12.987956868945112 真实值：0.607222222 误差：2038.91330033%
预测值：28.36567112559198 真实值：0.57 误差：4876.43353081%
预测值：-15.750862597826021 真实值：0.46 误差：3524.10056474%
预测值：12.673544083836596 真实值：0.599444444 误差：2014.21495531%
预测值：28.540832379707872 真实值：0.669444444 误差：4163.36085623%
预测值：15.35759775395156 真实值：0.601111111 误差：2454.86838838%
预测值：29.617062758419088 真实值：0.645 误差：4491.79267572%
预测值：21.7132360960971 真实值：0.604444444 误差：3492.26332736%
预测值：20.934115536867075 真实值：0.575555556 误差：3537.20153835%
预测值：23.350518305556825 真实值：0.616111111 误差：3689.98493756%
预测值：-5.834263470216733 真实值：0.538333333 误差：1183.76411279%
预测值：9.686395692018841 真实值：0.47 误差：1960.93525362%
预测值：27.18332879922213 真实值：0.611111111 误差：4348.18107705%
预测值：-0.8591156503725235 真实值：0.55 误差：256.202845522%
预测值：34.60370260420411 真实值：0.633888889 误差：5358.95395939%
预测值：-7.251730397067199 真实值：0.655555556 误差：1206.19616151%
预测值：37.97362618743325 真实值：0.614444444 误差：6080.15616517%
预测值：27.749140549490058 真实值：0.638333333 误差：4247.12384814%
预测值：11.762945416662951 真实值：0.556111111 误差：2015.21496046%
预测值：9.11736680865426 真实值：0.64 误差：1324.58856385%
预测值：30.627003767184142 真实值：0.558333333 误差：5385.43351382%
预测值：17.69624801883044 真实值：0.622222222 误差：2744.03986118%
预测值：27.968201603841813 真实值：0.617777778 误差：4427.22687669%
预测值：13.051174115539716 真实值：0.558888889 误差：2235.20013949%
预测值：22.730089683470915 真实值：0.562777778 误差：3938.91030741%
预测值：22.744507150375235 真实值：0.567222222 误差：3909.80537578%
预测值：14.905190746671742 真实值：0.528333333 误差：2721.17175194%
预测值：22.42947437360005 真实值：0.596666667 误差：3659.12978118%
预测值：22.066239171508137 真实值：0.576111111 误差：3730.20544999%
预测值：19.134397973228552 真实值：0.613333333 误差：3019.73880168%
预测值：27.149288605315128 真实值：0.594444444 误差：4467.17004917%
预测值：5.0476395234458735 真实值：0.46 误差：997.31293988%
预测值：43.387297558495966 真实值：0.597222222 误差：7164.84982645%
预测值：9.98724942674091 真实值：0.560555556 误差：1681.66986659%
预测值：18.30862540088794 真实值：0.641111111 误差：2755.76479439%
