预测值：0.5677777776000001 真实值：0.567222222 误差：0.0979432008219%
预测值：0.6415555555999999 真实值：0.651111111 误差：1.46757676817%
预测值：0.585 真实值：0.573333333 误差：2.03488378025%
预测值：0.632111111 真实值：0.618888889 误差：2.13644520608%
预测值：0.578888889 真实值：0.583333333 误差：0.76190468615%
预测值：0.5964444444000001 真实值：0.596111111 误差：0.0559179981465%
预测值：0.6550000002 真实值：0.634444444 误差：3.23993005131%
预测值：0.5732222224 真实值：0.602222222 误差：4.81549809034%
预测值：0.5951111112 真实值：0.608333333 误差：2.17351591352%
预测值：0.6263333332000001 真实值：0.589444444 误差：6.25824699435%
预测值：0.544777778 真实值：0.558333333 误差：2.42786059846%
预测值：0.5963333331999999 真实值：0.617222222 误差：3.38433842066%
预测值：0.6212222224 真实值：0.637222222 误差：2.51089793287%
预测值：0.5454444446 真实值：0.547777778 误差：0.425963500841%
预测值：0.5870000002 真实值：0.571111111 误差：2.78210122233%
预测值：0.5652222221999998 真实值：0.578333333 误差：2.2670508601%
预测值：0.6143333334000001 真实值：0.622777778 误差：1.35593222788%
预测值：0.5043333332 真实值：0.468333333 误差：7.68683278839%
预测值：0.6205555558 真实值：0.629444444 误差：1.41217994451%
预测值：0.5925555551999999 真实值：0.559444444 误差：5.91857003052%
预测值：0.5882222224 真实值：0.576666667 误差：2.00385353641%
预测值：0.6006666666000001 真实值：0.606111111 误差：0.898258471292%
预测值：0.5814444444 真实值：0.583888889 误差：0.418648932366%
预测值：0.6102222223999999 真实值：0.62 误差：1.57706090323%
预测值：0.5780000000000001 真实值：0.563333333 误差：2.60355035657%
预测值：0.617111111 真实值：0.623333333 误差：0.998217433689%
预测值：0.5722222222 真实值：0.579444444 误差：1.2464045302%
预测值：0.6354444443999999 真实值：0.616111111 误差：3.13796213943%
预测值：0.6143333336 真实值：0.648888889 误差：5.32534244087%
预测值：0.6088888889999999 真实值：0.623333333 误差：2.31729048252%
预测值：0.5948888891999999 真实值：0.585 误差：1.69040841026%
预测值：0.5853333331999999 真实值：0.619444444 误差：5.50672641113%
预测值：0.5640000000000001 真实值：0.547777778 误差：2.96146040448%
预测值：0.6251111112000001 真实值：0.616111111 误差：1.46077550612%
预测值：0.6238888888 真实值：0.624444444 误差：0.0889679146541%
预测值：0.6385555556 真实值：0.620555556 误差：2.90062661207%
预测值：0.5859999998000001 真实值：0.582222222 误差：0.648854965897%
预测值：0.5753333333999999 真实值：0.586666667 误差：1.93181822618%
预测值：0.6480000001999999 真实值：0.663333333 误差：2.3115577097%
预测值：0.648888889 真实值：0.607222222 误差：6.86184818183%
预测值：0.6414444443999999 真实值：0.657222222 误差：2.40067622059%
预测值：0.6029999998000001 真实值：0.607222222 误差：0.69533393987%
预测值：0.5700000000000001 真实值：0.57 误差：1.94775969232e-14%
预测值：0.5050000000000001 真实值：0.46 误差：9.78260869565%
预测值：0.5837777778 真实值：0.599444444 误差：2.61353097135%
预测值：0.6397777778 真实值：0.669444444 误差：4.43153520294%
预测值：0.5803333333999999 真实值：0.601111111 误差：3.45656189343%
预测值：0.6349999998 真实值：0.645 误差：1.55038762791%
预测值：0.6261111112 真实值：0.604444444 误差：3.5845589144%
预测值：0.5820000002000001 真实值：0.575555556 误差：1.11969107636%
预测值：0.5894444446 真实值：0.616111111 误差：4.32822358239%
预测值：0.49166666679999993 真实值：0.538333333 误差：8.66873056884%
预测值：0.48733333320000005 真实值：0.47 误差：3.68794323404%
预测值：0.6253333332 真实值：0.611111111 误差：2.32727272406%
预测值：0.5325555556000001 真实值：0.55 误差：3.17171716364%
预测值：0.6359999998 真实值：0.633888889 误差：0.333041142799%
预测值：0.6408888888 真实值：0.655555556 误差：2.23728821543%
预测值：0.6235555554 真实值：0.614444444 误差：1.48282102458%
预测值：0.6156666665999999 真实值：0.638333333 误差：3.5509137982%
预测值：0.5636666668 真实值：0.556111111 误差：1.35864140287%
预测值：0.6232222224 真实值：0.64 误差：2.62152775%
预测值：0.5626666666 真实值：0.558333333 误差：0.77611945121%
预测值：0.6152222222000001 真实值：0.622222222 误差：1.12499996826%
预测值：0.5940000002000001 真实值：0.617777778 误差：3.84892086552%
预测值：0.5665555555999999 真实值：0.558888889 误差：1.3717693715%
预测值：0.5407777778 真实值：0.562777778 误差：3.90918068552%
预测值：0.5591111112 真实值：0.567222222 误差：1.42997056275%
预测值：0.5313333334 真实值：0.528333333 误差：0.567823419917%
预测值：0.6228888888 真实值：0.596666667 误差：4.39478577408%
预测值：0.5746666668 真实值：0.576111111 误差：0.250723197734%
预测值：0.6318888888 真实值：0.613333333 误差：3.02536236034%
预测值：0.5844444444000001 真实值：0.594444444 误差：1.68224292462%
预测值：0.5043333334000001 真实值：0.46 误差：9.63768117391%
预测值：0.592111111 真实值：0.597222222 误差：0.855813935202%
预测值：0.5806666666 真实值：0.560555556 误差：3.58771051054%
预测值：0.6204444446 真实值：0.641111111 误差：3.22357014961%
预测值：0.4879999998000001 真实值：0.52 误差：6.15384619231%
预测值：0.6266666668 真实值：0.601111111 误差：4.25138636308%
预测值：0.6247777778000001 真实值：0.639444444 误差：2.29365761758%
预测值：0.5744444446 真实值：0.562777778 误差：2.07305033284%
预测值：0.5924444444000001 真实值：0.599444444 误差：1.16774784887%
预测值：0.6178888889999999 真实值：0.638333333 误差：3.20278496251%
预测值：0.5833333333999999 真实值：0.577222222 误差：1.05871034882%
预测值：0.6364444441999999 真实值：0.636111111 误差：0.0524017257733%
预测值：0.617 真实值：0.614444444 误差：0.415913273357%
预测值：0.6404444445999999 真实值：0.627222222 误差：2.10806029127%
预测值：0.5793333336 真实值：0.603888889 误差：4.066237324%
预测值：0.4996666664000001 真实值：0.476666667 误差：4.82517469593%
预测值：0.5676666666 真实值：0.566666667 误差：0.176470517543%
预测值：0.6394444443999999 真实值：0.643888889 误差：0.690250239743%
预测值：0.48333333320000005 真实值：0.466666667 误差：3.57142846888%
预测值：0.587 真实值：0.578888889 误差：1.40115161202%
预测值：0.5985555556000001 真实值：0.583333333 误差：2.60952387578%
预测值：0.5698888889999999 真实值：0.545555556 误差：4.46028506765%
预测值：0.5777777778000001 真实值：0.601666667 误差：3.97045249642%
预测值：0.6474444443999999 真实值：0.63 误差：2.76895942857%
预测值：0.47199999980000007 真实值：0.496666667 误差：4.96644305707%
预测值：0.5992222222000001 真实值：0.590555556 误差：1.46754460473%
预测值：0.6226666670000001 真实值：0.64 误差：2.70833328125%
预测值：0.6235555554000001 真实值：0.599444444 误差：4.0222428686%
预测值：0.595888889 真实值：0.608888889 误差：2.13503649596%
预测值：0.6366666668 真实值：0.595 误差：7.00280114286%
预测值：0.589777778 真实值：0.590555556 误差：0.131702765658%
预测值：0.5039999998000001 真实值：0.463333333 误差：8.77697845236%
预测值：0.5836666668 真实值：0.592222222 误差：1.44465284857%
预测值：0.6576666668000001 真实值：0.639444444 误差：2.84969600893%
预测值：0.5738888888 真实值：0.57 误差：0.682261192982%
预测值：0.5616666666000001 真实值：0.567222222 误差：0.979431902441%
预测值：0.5906666666 真实值：0.584444444 误差：1.06463884872%
预测值：0.552222222 真实值：0.532222222 误差：3.75782881159%
预测值：0.5876666668 真实值：0.549444444 误差：6.95652184991%
预测值：0.5885555553999999 真实值：0.582222222 误差：1.08778627141%
预测值：0.6476666665999999 真实值：0.638888889 误差：1.37391301541%
预测值：0.6400000001999999 真实值：0.630555556 误差：1.49779731701%
预测值：0.4746666664 真实值：0.456666667 误差：3.94160570515%
预测值：0.5967777778 真实值：0.588888889 误差：1.33962262616%
预测值：0.5726666668 真实值：0.583888889 误差：1.92197906338%
预测值：0.5952222222000001 真实值：0.602777778 误差：1.25345626129%
预测值：0.5726666666 真实值：0.578333333 误差：0.979827043792%
预测值：0.547222222 真实值：0.541666667 误差：1.02564092245%
预测值：0.569222222 真实值：0.562777778 误差：1.14511344476%
预测值：0.6149999998 真实值：0.580555556 误差：5.93301423852%
预测值：0.6315555558 真实值：0.62 误差：1.86379932258%
预测值：0.6061111112 真实值：0.632777778 误差：4.21422302223%
预测值：0.5744444446 真实值：0.57 误差：0.779727122807%
预测值：0.5926666668 真实值：0.586666667 误差：1.02272723806%
预测值：0.6112222222 真实值：0.596666667 误差：2.43947852378%
预测值：0.6463333334 真实值：0.646111111 误差：0.0343938366353%
预测值：0.4986666666 真实值：0.556666667 误差：10.4191617423%
